STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT
ASSAM,BARPETA,2001,64,28,105,43,45,93,187,2,29,266
ASSAM,BONGAIGAON,2001,45,20,36,13,25,87,92,0,13,67
ASSAM,CACHAR,2001,52,45,104,29,42,189,359,0,33,286
ASSAM,DARRANG,2001,61,48,64,21,29,111,185,2,25,319
ASSAM,DHEMAJI,2001,15,42,31,2,12,26,79,0,15,203
ASSAM,DHUBRI,2001,65,43,69,53,19,79,83,2,24,193
ASSAM,DIBRUGARH,2001,110,35,57,14,29,114,325,18,12,351
ASSAM,GOALPARA,2001,28,35,43,37,13,61,116,1,16,51
ASSAM,GOLAGHAT,2001,53,30,44,13,27,95,211,27,20,135
ASSAM,GUWAHATI_CITY,2001,71,37,129,38,73,227,736,124,72,913
ASSAM,HAILAKANDI,2001,18,24,36,6,8,93,92,1,14,60
ASSAM,JORHAT,2001,40,42,37,6,27,43,230,27,23,134
ASSAM,KAMRUP,2001,37,21,95,30,41,196,275,40,50,404
ASSAM,KARBI_ANGLONG,2001,65,5,38,12,33,13,79,3,11,66
ASSAM,KARIMGANJ,2001,32,33,42,8,5,57,114,9,8,68
ASSAM,KOKRAJHAR,2001,87,14,41,14,10,42,89,0,10,156
ASSAM,LAKHIMPUR,2001,26,64,72,15,47,124,195,0,71,386
ASSAM,MORIGAON,2001,20,23,39,15,10,84,66,3,7,31
ASSAM,N.C.HILLS,2001,17,2,8,4,5,17,30,3,3,22
ASSAM,NAGAON,2001,95,51,119,59,33,288,491,36,35,513
ASSAM,NALBARI,2001,79,30,53,15,39,96,119,3,18,172
ASSAM,SIBSAGAR,2001,59,47,64,3,41,1,343,35,29,286
ASSAM,SONITPUR,2001,86,53,87,27,21,175,356,6,21,451
ASSAM,TINSUKIA,2001,107,41,62,34,35,100,350,8,10,237
ASSAM,TOTAL,2001,1356,817,1480,532,687,2423,5367,350,575,5805
ASSAM,BARPETA,2002,43,55,69,28,23,83,256,9,28,90
ASSAM,BONGAIGAON,2002,47,21,51,26,20,78,80,6,9,30
ASSAM,CACHAR,2002,57,71,93,29,18,206,448,3,33,234
ASSAM,DARRANG,2002,31,33,54,12,11,50,119,6,8,116
ASSAM,DHEMAJI,2002,30,48,31,7,11,27,83,0,14,194
ASSAM,DHUBRI,2002,60,46,62,44,20,78,88,1,23,257
ASSAM,DIBRUGARH,2002,97,45,75,19,23,96,309,35,21,369
ASSAM,GOALPARA,2002,24,40,48,25,10,63,107,2,17,69
ASSAM,GOLAGHAT,2002,57,42,68,10,37,56,260,31,31,342
ASSAM,GUWAHATI_CITY,2002,60,60,184,44,83,530,1136,201,146,378
ASSAM,HAILAKANDI,2002,26,24,42,13,5,63,110,0,8,80
ASSAM,JORHAT,2002,37,36,36,4,14,67,204,8,21,124
ASSAM,KAMRUP,2002,34,41,118,21,30,68,138,57,47,65
ASSAM,KARBI_ANGLONG,2002,41,5,37,13,20,15,118,20,7,46
ASSAM,KARIMGANJ,2002,43,23,38,6,4,71,142,8,15,59
ASSAM,KOKRAJHAR,2002,62,15,48,16,13,45,77,0,13,169
ASSAM,LAKHIMPUR,2002,26,69,84,2,44,95,283,0,86,478
ASSAM,MORIGAON,2002,23,40,39,2,2,35,108,2,12,86
ASSAM,N.C.HILLS,2002,25,2,9,2,8,4,45,0,2,23
ASSAM,NAGAON,2002,78,61,132,53,77,355,298,45,61,493
ASSAM,NALBARI,2002,47,27,50,25,31,81,87,1,15,112
ASSAM,SIBSAGAR,2002,75,57,57,8,22,50,328,47,27,557
ASSAM,SONITPUR,2002,109,67,114,23,35,166,332,8,45,278
ASSAM,TINSUKIA,2002,115,41,53,37,40,119,333,6,25,113
ASSAM,TOTAL,2002,1253,970,1595,473,607,2504,5555,496,719,4764
ASSAM,BARPETA,2003,46,61,76,34,21,88,121,2,41,216
ASSAM,BONGAIGAON,2003,27,27,46,22,15,68,93,0,17,73
ASSAM,CACHAR,2003,68,70,120,26,13,273,398,0,58,212
ASSAM,DARRANG,2003,73,53,83,26,22,138,202,12,22,209
ASSAM,DHEMAJI,2003,20,43,25,3,13,31,94,0,14,195
ASSAM,DHUBRI,2003,64,68,62,32,12,77,109,7,35,315
ASSAM,DIBRUGARH,2003,107,38,54,44,36,122,298,32,28,369
ASSAM,GOALPARA,2003,30,60,51,31,11,5,159,0,28,62
ASSAM,GOLAGHAT,2003,55,67,73,7,24,94,296,16,38,348
ASSAM,GUWAHATI_CITY,2003,50,38,216,26,100,606,1157,248,213,527
ASSAM,HAILAKANDI,2003,25,27,43,5,6,73,80,3,13,136
ASSAM,JORHAT,2003,46,40,28,6,14,59,189,3,21,161
ASSAM,KAMRUP,2003,24,48,51,20,14,71,190,0,42,76
ASSAM,KARBI_ANGLONG,2003,67,16,37,8,14,23,113,18,2,45
ASSAM,KARIMGANJ,2003,31,29,47,9,5,71,104,8,18,60
ASSAM,KOKRAJHAR,2003,46,22,40,4,8,50,75,0,17,114
ASSAM,LAKHIMPUR,2003,31,76,80,11,26,18,271,3,62,367
ASSAM,MORIGAON,2003,14,35,49,10,7,65,80,1,21,83
ASSAM,N.C.HILLS,2003,19,0,13,3,12,0,40,0,2,20
ASSAM,NAGAON,2003,75,105,169,54,50,256,440,22,59,490
ASSAM,NALBARI,2003,35,33,64,23,28,69,130,2,21,295
ASSAM,SIBSAGAR,2003,55,38,76,5,26,93,268,9,46,230
ASSAM,SONITPUR,2003,98,64,90,25,23,168,362,3,58,262
ASSAM,TINSUKIA,2003,79,32,33,28,19,88,199,17,13,74
ASSAM,TOTAL,2003,1191,1095,1628,471,523,2606,5525,406,894,4952
ASSAM,BARPETA,2004,48,50,74,21,28,84,238,2,42,185
ASSAM,BONGAIGAON,2004,36,41,52,10,10,48,136,0,17,229
ASSAM,CACHAR,2004,46,46,112,21,15,249,411,31,66,196
ASSAM,DARRANG,2004,69,55,59,33,31,126,262,21,21,364
ASSAM,DHEMAJI,2004,17,53,53,2,5,29,125,0,24,211
ASSAM,DHUBRI,2004,53,79,75,21,11,68,136,5,43,324
ASSAM,DIBRUGARH,2004,125,58,88,7,14,107,350,19,24,478
ASSAM,GOALPARA,2004,35,50,53,16,9,67,100,2,30,133
ASSAM,GOLAGHAT,2004,71,62,91,14,34,91,310,29,27,323
ASSAM,GUWAHATI_CITY,2004,21,88,295,20,78,534,867,300,158,576
ASSAM,HAILAKANDI,2004,25,18,32,5,2,62,47,1,9,85
ASSAM,JORHAT,2004,38,32,34,2,12,62,150,52,13,118
ASSAM,KAMRUP,2004,15,59,193,20,54,170,298,69,72,321
ASSAM,KARBI_ANGLONG,2004,57,14,20,15,20,19,102,7,1,38
ASSAM,KARIMGANJ,2004,40,32,36,5,3,57,101,6,19,44
ASSAM,KOKRAJHAR,2004,63,33,31,7,13,56,104,4,21,127
ASSAM,LAKHIMPUR,2004,31,56,97,10,13,2,291,3,40,348
ASSAM,MORIGAON,2004,19,36,43,1,6,28,81,4,22,92
ASSAM,N.C.HILLS,2004,7,1,9,2,6,23,42,0,5,42
ASSAM,NAGAON,2004,79,91,139,61,32,237,433,68,54,595
ASSAM,NALBARI,2004,37,29,61,8,19,81,129,3,20,290
ASSAM,SIBSAGAR,2004,55,49,81,2,9,67,238,25,44,149
ASSAM,SONITPUR,2004,87,87,108,23,33,181,392,5,54,462
ASSAM,TINSUKIA,2004,117,45,67,17,37,86,336,29,30,176
ASSAM,TOTAL,2004,1214,1171,1906,360,505,2544,5866,685,865,5911
ASSAM,BARPETA,2005,38,56,69,27,17,145,137,2,20,265
ASSAM,BONGAIGAON,2005,19,38,31,7,6,48,80,4,9,100
ASSAM,CACHAR,2005,51,51,110,19,20,193,406,4,72,240
ASSAM,DARRANG,2005,25,47,33,20,8,79,105,2,14,243
ASSAM,DHEMAJI,2005,20,52,45,3,9,22,121,3,18,207
ASSAM,DHUBRI,2005,40,101,84,14,10,60,145,6,65,358
ASSAM,DIBRUGARH,2005,113,57,75,6,23,93,402,28,44,422
ASSAM,GOALPARA,2005,31,40,73,14,12,50,127,2,10,241
ASSAM,GOLAGHAT,2005,61,54,87,10,28,69,261,25,55,329
ASSAM,GUWAHATI_CITY,2005,39,38,147,6,96,462,1389,491,172,969
ASSAM,HAILAKANDI,2005,18,18,35,12,6,54,66,1,20,37
ASSAM,JORHAT,2005,51,29,44,0,10,54,195,44,19,123
ASSAM,KAMRUP,2005,31,73,86,20,13,96,210,103,27,40
ASSAM,KARBI_ANGLONG,2005,76,8,39,12,11,26,92,8,6,50
ASSAM,KARIMGANJ,2005,30,28,31,4,5,70,156,11,14,128
ASSAM,KOKRAJHAR,2005,46,36,44,8,14,32,83,6,25,196
ASSAM,LAKHIMPUR,2005,36,69,112,4,6,1,280,61,52,423
ASSAM,MORIGAON,2005,22,52,47,1,6,16,139,2,25,125
ASSAM,N.C.HILLS,2005,11,1,10,1,11,16,50,1,3,23
ASSAM,NAGAON,2005,88,149,185,56,42,203,405,83,68,606
ASSAM,NALBARI,2005,17,27,38,7,6,44,97,4,10,185
ASSAM,SIBSAGAR,2005,61,38,73,12,9,78,277,22,39,119
ASSAM,SONITPUR,2005,87,77,108,26,27,177,494,17,54,222
ASSAM,TINSUKIA,2005,92,42,75,17,25,89,374,20,11,38
ASSAM,TOTAL,2005,1194,1238,1751,334,451,2255,6369,955,873,5906
