STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,CHEATING,HURT_GREVIOUS_HURT
ARUNACHAL_PRADESH,CHANGLANG,2001,11,1,3,3,4,18,24,0,3,30
ARUNACHAL_PRADESH,DIBANG_VALLEY,2001,3,2,4,2,5,18,19,1,0,27
ARUNACHAL_PRADESH,KAMENG_EAST,2001,3,2,7,1,6,8,26,0,1,36
ARUNACHAL_PRADESH,KAMENG_WEST,2001,4,0,2,1,0,6,26,0,4,27
ARUNACHAL_PRADESH,LOHIT,2001,16,2,6,2,8,20,31,0,2,40
ARUNACHAL_PRADESH,PAPUM_PARE,2001,11,9,15,4,29,59,109,29,8,84
ARUNACHAL_PRADESH,SIANG_EAST,2001,7,5,11,4,8,25,52,4,4,58
ARUNACHAL_PRADESH,SIANG_UPPER,2001,1,2,5,0,0,5,9,0,0,15
ARUNACHAL_PRADESH,SIANG_WEST,2001,5,4,17,1,10,34,72,1,5,71
ARUNACHAL_PRADESH,SUBANSIRI_LOWER,2001,8,2,6,1,7,17,25,0,2,11
ARUNACHAL_PRADESH,SUBANSIRI_UPPER,2001,4,2,1,3,5,17,20,0,0,34
ARUNACHAL_PRADESH,TAWANG,2001,2,1,0,0,0,3,13,1,1,3
ARUNACHAL_PRADESH,TIRAP,2001,8,1,6,0,2,18,17,0,0,30
ARUNACHAL_PRADESH,TOTAL,2001,83,33,83,22,84,248,443,36,30,466
ARUNACHAL_PRADESH,CHANGLANG,2002,9,3,5,2,5,18,25,0,8,26
ARUNACHAL_PRADESH,DIBANG_VALLEY,2002,6,5,6,2,9,16,20,0,3,36
ARUNACHAL_PRADESH,KAMENG_EAST,2002,3,1,4,0,3,10,23,0,0,37
ARUNACHAL_PRADESH,KAMENG_WEST,2002,3,0,4,0,0,10,15,0,1,16
ARUNACHAL_PRADESH,LOHIT,2002,14,3,5,6,5,12,24,0,2,50
ARUNACHAL_PRADESH,PAPUM_PARE,2002,3,3,10,7,42,66,94,38,3,51
ARUNACHAL_PRADESH,SIANG_EAST,2002,3,11,10,2,6,28,58,3,5,58
ARUNACHAL_PRADESH,SIANG_UPPER,2002,0,3,0,0,1,9,7,0,0,0
ARUNACHAL_PRADESH,SIANG_WEST,2002,4,4,7,1,7,39,50,4,2,58
ARUNACHAL_PRADESH,SUBANSIRI_LOWER,2002,8,1,4,2,8,16,32,4,1,18
ARUNACHAL_PRADESH,SUBANSIRI_UPPER,2002,5,2,1,0,6,13,14,0,2,24
ARUNACHAL_PRADESH,TAWANG,2002,0,1,0,0,0,3,13,2,1,2
ARUNACHAL_PRADESH,TIRAP,2002,3,1,1,0,4,9,20,0,1,25
ARUNACHAL_PRADESH,TOTAL,2002,61,38,57,22,96,249,395,51,29,401
ARUNACHAL_PRADESH,CHANGLANG,2003,10,4,7,4,0,16,19,0,1,33
ARUNACHAL_PRADESH,DIBANG_VALLEY,2003,1,2,1,2,6,15,13,0,2,38
ARUNACHAL_PRADESH,KAMENG_EAST,2003,4,0,2,0,5,15,11,0,0,33
ARUNACHAL_PRADESH,KAMENG_WEST,2003,7,1,0,1,2,11,11,0,0,22
ARUNACHAL_PRADESH,LOHIT,2003,16,1,15,4,2,26,25,0,2,30
ARUNACHAL_PRADESH,PAPUM_PARE,2003,9,3,10,11,11,56,110,38,2,67
ARUNACHAL_PRADESH,SIANG_EAST,2003,6,9,10,4,13,22,46,4,7,40
ARUNACHAL_PRADESH,SIANG_UPPER,2003,4,1,1,0,0,8,16,0,0,12
ARUNACHAL_PRADESH,SIANG_WEST,2003,5,5,5,2,2,22,50,5,4,57
ARUNACHAL_PRADESH,SUBANSIRI_LOWER,2003,3,3,4,4,5,20,17,2,1,11
ARUNACHAL_PRADESH,SUBANSIRI_UPPER,2003,4,1,2,2,7,15,11,0,0,35
ARUNACHAL_PRADESH,TAWANG,2003,0,0,0,0,1,12,14,1,0,6
ARUNACHAL_PRADESH,TIRAP,2003,2,1,8,2,5,13,25,0,2,33
ARUNACHAL_PRADESH,TOTAL,2003,77,31,68,37,60,253,370,50,21,427
ARUNACHAL_PRADESH,CHANGLANG,2004,8,9,7,7,1,17,27,0,0,22
ARUNACHAL_PRADESH,DIBANG_VALLEY,2004,1,3,3,1,3,9,15,0,3,30
ARUNACHAL_PRADESH,KAMENG_EAST,2004,4,0,2,0,0,18,11,0,2,34
ARUNACHAL_PRADESH,KAMENG_WEST,2004,3,2,4,1,4,5,24,0,2,23
ARUNACHAL_PRADESH,LOHIT,2004,10,5,7,5,4,13,23,0,3,37
ARUNACHAL_PRADESH,PAPUM_PARE,2004,7,4,8,6,7,51,132,65,9,66
ARUNACHAL_PRADESH,SIANG_EAST,2004,1,11,14,4,5,20,41,1,7,66
ARUNACHAL_PRADESH,SIANG_UPPER,2004,1,1,0,0,0,9,10,1,0,5
ARUNACHAL_PRADESH,SIANG_WEST,2004,3,6,10,3,6,25,44,7,5,54
ARUNACHAL_PRADESH,SUBANSIRI_LOWER,2004,8,0,1,0,5,12,7,0,2,13
ARUNACHAL_PRADESH,SUBANSIRI_UPPER,2004,10,0,4,0,8,10,18,1,0,36
ARUNACHAL_PRADESH,TAWANG,2004,0,0,0,0,0,6,11,0,0,16
ARUNACHAL_PRADESH,TIRAP,2004,3,1,4,1,2,14,21,0,0,14
ARUNACHAL_PRADESH,TOTAL,2004,67,42,65,30,45,215,388,75,34,429
ARUNACHAL_PRADESH,CHANGLANG,2005,9,2,8,0,4,17,25,0,0,26
ARUNACHAL_PRADESH,DIBANG_VALLEY,2005,4,0,5,3,1,13,37,1,0,18
ARUNACHAL_PRADESH,KAMENG_EAST,2005,4,2,4,3,3,12,18,5,1,13
ARUNACHAL_PRADESH,KAMENG_WEST,2005,6,0,1,1,4,10,25,0,2,21
ARUNACHAL_PRADESH,LOHIT,2005,14,3,7,1,5,20,22,0,2,20
ARUNACHAL_PRADESH,PAPUM_PARE,2005,10,6,10,3,16,47,180,85,10,70
ARUNACHAL_PRADESH,SIANG_EAST,2005,3,13,6,3,19,34,66,18,5,64
