STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,CHEATING,HURT_GREVIOUS_HURT
TRIPURA,DHALAI,2001,35,11,15,1,4,11,7,0,1,34
TRIPURA,NORTH,2001,38,29,19,4,19,42,47,0,3,62
TRIPURA,SOUTH,2001,42,29,20,3,8,30,37,4,3,90
TRIPURA,WEST,2001,125,33,39,18,32,115,168,2,10,226
TRIPURA,TOTAL,2001,240,102,93,26,63,198,259,6,17,412
TRIPURA,DHALAI,2002,29,6,33,1,4,16,12,0,2,138
TRIPURA,NORTH,2002,28,35,16,12,26,36,42,21,6,150
TRIPURA,SOUTH,2002,31,30,16,2,12,45,51,0,4,100
TRIPURA,WEST,2002,113,37,63,14,14,95,165,30,8,130
TRIPURA,TOTAL,2002,201,108,128,29,56,192,270,51,20,518
TRIPURA,DHALAI,2002,29,6,33,1,4,16,12,0,2,138
TRIPURA,NORTH,2002,28,35,16,12,26,36,42,21,6,150
TRIPURA,SOUTH,2002,31,30,16,2,12,45,51,0,4,100
TRIPURA,WEST,2002,113,37,63,14,14,95,165,30,8,130
TRIPURA,TOTAL,2002,201,108,128,29,56,192,270,51,20,518
TRIPURA,DHALAI,2003,40,5,36,4,14,16,13,0,4,50
TRIPURA,NORTH,2003,40,36,35,8,27,27,54,2,5,99
TRIPURA,SOUTH,2003,38,37,18,6,12,43,53,2,10,143
TRIPURA,WEST,2003,136,36,57,18,16,81,156,6,6,242
TRIPURA,TOTAL,2003,254,114,146,36,69,167,276,10,25,534
TRIPURA,DHALAI,2004,24,15,16,3,7,20,30,0,3,34
TRIPURA,NORTH,2004,26,46,30,6,14,33,56,3,2,95
TRIPURA,SOUTH,2004,42,51,28,6,12,50,63,9,22,163
TRIPURA,WEST,2004,97,48,25,12,13,63,111,37,7,160
TRIPURA,TOTAL,2004,189,160,99,27,46,166,260,49,34,452
TRIPURA,DHALAI,2005,12,15,21,9,5,19,22,0,2,47
TRIPURA,NORTH,2005,27,47,19,6,19,47,64,2,15,103
TRIPURA,SOUTH,2005,21,42,21,1,11,47,110,21,15,144
TRIPURA,WEST,2005,61,58,24,6,26,57,129,39,27,135
TRIPURA,TOTAL,2005,121,162,85,22,61,170,325,62,59,429
TRIPURA,DHALAI,2006,21,16,14,3,3,22,24,1,6,38
TRIPURA,NORTH,2006,34,45,26,0,24,39,96,1,24,110
TRIPURA,SOUTH,2006,25,51,19,3,13,47,121,8,22,162
TRIPURA,WEST,2006,74,77,46,12,31,74,151,21,32,154
TRIPURA,TOTAL,2006,154,189,105,18,71,182,392,31,84,464
TRIPURA,DHALAI,2007,18,13,27,1,8,20,29,1,6,44
TRIPURA,NORTH,2007,21,26,21,1,6,35,72,3,14,113
TRIPURA,SOUTH,2007,34,41,21,0,27,53,125,19,37,138
TRIPURA,WEST,2007,65,77,44,12,23,85,185,32,28,251
TRIPURA,TOTAL,2007,138,157,113,14,64,193,411,55,85,546
TRIPURA,DHALAI,2008,20,32,18,3,14,24,39,4,3,73
TRIPURA,NORTH,2008,28,46,27,1,7,41,87,4,18,235
TRIPURA,SOUTH,2008,35,45,34,2,41,50,150,14,28,254
TRIPURA,WEST,2008,72,81,67,7,33,103,223,21,43,362
TRIPURA,TOTAL,2008,155,204,146,13,95,218,499,43,92,924
TRIPURA,DHALAI,2009,20,18,9,0,2,21,39,2,4,92
TRIPURA,NORTH,2009,33,48,32,2,13,44,90,2,13,211
TRIPURA,SOUTH,2009,19,48,27,0,29,64,100,9,40,250
TRIPURA,WEST,2009,61,76,53,5,33,102,186,26,53,494
TRIPURA,TOTAL,2009,133,190,121,7,77,231,415,39,110,1047
TRIPURA,DHALAI,2010,19,33,14,2,5,40,39,2,10,112
TRIPURA,NORTH,2010,23,51,25,6,11,34,78,11,21,241
TRIPURA,SOUTH,2010,25,36,27,1,20,45,118,7,31,332
TRIPURA,WEST,2010,83,118,48,7,29,101,219,44,60,450
TRIPURA,TOTAL,2010,150,238,114,16,65,221,457,64,122,1136
TRIPURA,DHALAI,2011,24,21,16,1,9,20,33,4,5,96
TRIPURA,NORTH,2011,31,40,31,1,2,26,80,10,23,178
TRIPURA,SOUTH,2011,36,58,34,0,12,56,134,14,36,455
TRIPURA,WEST,2011,71,86,73,9,27,125,244,31,34,609
TRIPURA,TOTAL,2011,163,205,154,11,50,227,494,59,99,1340
TRIPURA,DHALAI,2012,20,35,11,2,13,17,29,2,7,70
TRIPURA,NORTH,2012,11,29,16,2,4,19,45,9,11,105
TRIPURA,SOUTH,2012,15,30,17,1,8,37,46,2,12,190
TRIPURA,WEST,2012,26,50,35,0,10,78,146,63,19,277
TRIPURA,TOTAL,2012,124,229,139,7,60,239,565,140,105,1504
