STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT
MANIPUR,BISHNUPUR,2001,29,1,3,3,2,6,11,1,3,21
MANIPUR,CHANDEL,2001,7,0,1,16,4,2,1,0,1,13
MANIPUR,CHURACHANDPUR,2001,35,1,0,0,0,4,12,1,3,3
MANIPUR,KIMPHAL_EAST,2001,29,7,13,0,1,12,28,16,16,26
MANIPUR,IMPHAL_WEST,2001,44,7,48,1,2,38,121,52,25,75
MANIPUR,SENAPATI,2001,27,0,6,0,1,2,9,0,1,1
MANIPUR,TAMENGLONG,2001,2,0,0,0,0,1,4,0,0,2
MANIPUR,THOUBAL,2001,32,4,22,0,6,8,20,1,17,56
MANIPUR,UKHRUL,2001,4,0,1,0,3,2,11,0,0,4
MANIPUR,TOTAL,2001,209,20,94,20,19,75,217,71,66,201
MANIPUR,BISHNUPUR,2002,24,2,20,1,0,5,9,0,8,66
MANIPUR,CHANDEL,2002,9,0,9,0,5,2,6,0,2,19
MANIPUR,CHURACHANDPUR,2002,30,0,19,0,0,4,4,0,0,6
MANIPUR,KIMPHAL_EAST,2002,24,4,25,2,0,7,39,22,11,50
MANIPUR,IMPHAL_WEST,2002,32,3,44,0,0,20,162,92,29,128
MANIPUR,SENAPATI,2002,13,0,1,0,0,2,6,0,2,0
MANIPUR,TAMENGLONG,2002,3,0,4,0,0,0,6,0,0,2
MANIPUR,THOUBAL,2002,27,4,34,0,0,3,18,1,20,102
MANIPUR,UKHRUL,2002,3,1,1,0,1,1,5,0,0,5
MANIPUR,TOTAL,2002,165,14,157,3,6,44,255,115,72,378
MANIPUR,BISHNUPUR,2003,22,2,10,0,0,6,11,0,6,46
MANIPUR,CHANDEL,2003,17,0,3,0,1,0,5,1,0,10
MANIPUR,CHURACHANDPUR,2003,14,0,4,0,0,3,16,0,1,4
MANIPUR,KIMPHAL_EAST,2003,25,3,18,0,1,9,44,29,8,64
MANIPUR,IMPHAL_WEST,2003,28,5,41,2,1,37,131,92,25,91
MANIPUR,SENAPATI,2003,17,0,7,1,1,1,3,0,4,3
MANIPUR,TAMENGLONG,2003,3,0,0,0,0,0,5,0,0,1
MANIPUR,THOUBAL,2003,22,8,34,0,1,10,33,2,32,100
MANIPUR,UKHRUL,2003,2,0,3,0,1,2,4,0,0,5
MANIPUR,TOTAL,2003,150,18,120,3,6,68,252,124,76,324
MANIPUR,BISHNUPUR,2004,19,3,14,0,0,5,26,0,3,36
MANIPUR,CHANDEL,2004,6,1,1,0,0,5,4,0,0,1
MANIPUR,CHURACHANDPUR,2004,26,0,7,0,0,3,8,0,1,0
MANIPUR,KIMPHAL_EAST,2004,24,7,23,0,1,7,27,9,85,47
MANIPUR,IMPHAL_WEST,2004,28,9,38,1,1,40,142,98,42,106
