STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT
MEGHALAYA,GARO_HILLS_EAST,2001,16,2,5,7,14,7,16,0,1,12
MEGHALAYA,GARO_HILLS_SOUTH,2001,6,1,2,3,4,2,8,0,0,2
MEGHALAYA,KGARO_HILLS_WEST,2001,19,5,14,9,4,34,30,3,4,24
MEGHALAYA,JAINTIA_HILLS,2001,35,7,6,17,7,8,30,0,2,21
MEGHALAYA,KHASI_HILLS_EAST,2001,50,5,20,27,68,109,142,11,18,30
MEGHALAYA,KHASI_HILLS_WEST,2001,16,4,0,19,16,0,23,0,1,3
MEGHALAYA,RI-BHOI,2001,22,2,8,15,12,10,22,2,3,10
MEGHALAYA,TOTAL,2001,164,26,55,97,125,170,271,16,29,102
MEGHALAYA,GARO_HILLS_EAST,2002,10,1,5,5,5,10,25,0,2,8
MEGHALAYA,GARO_HILLS_SOUTH,2002,10,1,2,2,1,5,11,0,3,4
MEGHALAYA,KGARO_HILLS_WEST,2002,17,5,12,2,2,23,45,0,4,21
MEGHALAYA,JAINTIA_HILLS,2002,39,2,3,6,10,7,43,2,0,19
MEGHALAYA,KHASI_HILLS_EAST,2002,48,19,22,24,66,98,221,40,21,18
MEGHALAYA,KHASI_HILLS_WEST,2002,16,7,4,10,11,8,11,0,0,6
MEGHALAYA,RI-BHOI,2002,27,3,4,15,14,3,36,9,3,13
MEGHALAYA,TOTAL,2002,167,38,52,64,109,154,392,51,33,89
MEGHALAYA,GARO_HILLS_EAST,2003,14,1,7,4,6,19,20,0,3,11
MEGHALAYA,GARO_HILLS_SOUTH,2003,7,3,3,2,1,3,7,0,0,0
MEGHALAYA,KGARO_HILLS_WEST,2003,24,6,18,13,17,21,24,0,4,14
MEGHALAYA,JAINTIA_HILLS,2003,52,11,0,8,4,10,41,16,3,35
MEGHALAYA,KHASI_HILLS_EAST,2003,45,10,14,33,84,103,211,86,20,22
MEGHALAYA,KHASI_HILLS_WEST,2003,17,6,2,8,9,1,18,0,0,0
MEGHALAYA,RI-BHOI,2003,16,3,5,15,12,3,39,6,4,24
MEGHALAYA,TOTAL,2003,175,40,49,83,133,160,360,108,34,106
MEGHALAYA,GARO_HILLS_EAST,2004,7,0,3,5,10,18,18,0,1,2
MEGHALAYA,GARO_HILLS_SOUTH,2004,5,1,2,4,1,0,9,0,0,2
MEGHALAYA,KGARO_HILLS_WEST,2004,17,12,10,14,3,16,31,0,3,36
MEGHALAYA,JAINTIA_HILLS,2004,32,11,6,14,5,20,61,14,2,38
MEGHALAYA,KHASI_HILLS_EAST,2004,33,17,29,28,46,75,228,115,34,16
MEGHALAYA,KHASI_HILLS_WEST,2004,14,9,2,6,6,12,25,0,2,12
MEGHALAYA,RI-BHOI,2004,16,4,2,20,10,1,46,9,2,17
MEGHALAYA,TOTAL,2004,124,54,54,91,81,142,418,138,44,123
MEGHALAYA,GARO_HILLS_EAST,2005,10,4,7,11,7,11,33,0,6,15
MEGHALAYA,GARO_HILLS_SOUTH,2005,5,0,2,3,2,1,17,0,0,2
MEGHALAYA,KGARO_HILLS_WEST,2005,11,3,11,14,5,18,47,4,5,40
MEGHALAYA,JAINTIA_HILLS,2005,43,10,7,11,8,15,62,19,3,24
MEGHALAYA,KHASI_HILLS_EAST,2005,40,25,19,12,55,89,225,88,24,22
MEGHALAYA,KHASI_HILLS_WEST,2005,8,12,0,21,7,12,34,0,1,5
MEGHALAYA,RI-BHOI,2005,17,9,2,9,11,2,58,5,0,27
MEGHALAYA,TOTAL,2005,134,63,48,81,95,148,476,116,39,135
MEGHALAYA,GARO_HILLS_EAST,2006,18,3,6,10,8,9,25,1,2,6
MEGHALAYA,GARO_HILLS_SOUTH,2006,3,0,4,4,4,3,18,0,1,3
MEGHALAYA,KGARO_HILLS_WEST,2006,15,10,13,8,1,12,41,7,5,39
MEGHALAYA,JAINTIA_HILLS,2006,51,19,3,7,5,13,41,10,1,38
MEGHALAYA,KHASI_HILLS_EAST,2006,45,30,28,8,35,96,275,109,64,43
MEGHALAYA,KHASI_HILLS_WEST,2006,12,6,1,12,7,7,21,0,4,0
MEGHALAYA,RI-BHOI,2006,13,6,2,8,5,0,49,8,6,9
MEGHALAYA,TOTAL,2006,157,74,57,57,65,140,470,135,83,138
MEGHALAYA,GARO_HILLS_EAST,2007,9,4,6,8,0,20,32,0,0,9
MEGHALAYA,GARO_HILLS_SOUTH,2007,2,1,2,2,4,5,12,0,1,5
MEGHALAYA,KGARO_HILLS_WEST,2007,13,4,16,10,6,26,57,13,13,28
MEGHALAYA,JAINTIA_HILLS,2007,43,26,3,10,7,21,56,2,6,22
MEGHALAYA,KHASI_HILLS_EAST,2007,21,32,22,9,30,108,270,62,136,56
MEGHALAYA,KHASI_HILLS_WEST,2007,16,8,2,13,3,14,20,0,5,0
MEGHALAYA,RI-BHOI,2007,10,7,1,3,6,9,53,14,3,4
MEGHALAYA,TOTAL,2007,114,82,52,55,56,203,500,91,164,124
MEGHALAYA,GARO_HILLS_EAST,2008,10,1,10,8,3,10,27,6,1,10
MEGHALAYA,GARO_HILLS_SOUTH,2008,4,2,2,5,1,1,12,0,1,0
MEGHALAYA,KGARO_HILLS_WEST,2008,16,10,9,11,14,29,142,25,13,75
MEGHALAYA,JAINTIA_HILLS,2008,38,18,7,5,11,23,86,26,10,40
MEGHALAYA,KHASI_HILLS_EAST,2008,30,34,19,9,29,96,307,66,72,57
MEGHALAYA,KHASI_HILLS_WEST,2008,13,16,5,21,3,8,24,2,1,10
MEGHALAYA,RI-BHOI,2008,15,7,4,4,4,1,71,12,6,12
MEGHALAYA,TOTAL,2008,126,88,56,63,65,168,669,137,104,204
MEGHALAYA,GARO_HILLS_EAST,2009,9,3,3,18,9,9,30,3,4,20
MEGHALAYA,GARO_HILLS_SOUTH,2009,4,0,3,5,0,1,14,0,1,2
MEGHALAYA,KGARO_HILLS_WEST,2009,13,8,16,13,12,22,138,66,23,62
MEGHALAYA,JAINTIA_HILLS,2009,40,24,8,2,3,20,61,14,13,53
MEGHALAYA,KHASI_HILLS_EAST,2009,28,34,17,10,34,72,230,81,61,38
MEGHALAYA,KHASI_HILLS_WEST,2009,18,20,2,10,5,22,27,3,2,10
MEGHALAYA,RI-BHOI,2009,16,23,7,6,4,1,45,13,9,22
MEGHALAYA,TOTAL,2009,128,112,56,64,67,147,545,180,113,207
MEGHALAYA,GARO_HILLS_EAST,2010,11,5,5,13,6,14,33,9,1,4
MEGHALAYA,GARO_HILLS_SOUTH,2010,8,4,5,2,1,4,8,0,1,3
MEGHALAYA,KGARO_HILLS_WEST,2010,20,15,24,5,6,25,186,53,25,34
MEGHALAYA,JAINTIA_HILLS,2010,48,33,8,4,8,14,71,14,17,46
MEGHALAYA,KHASI_HILLS_EAST,2010,24,41,16,4,32,94,272,57,41,28
MEGHALAYA,KHASI_HILLS_WEST,2010,11,28,6,8,7,15,41,10,4,13
MEGHALAYA,RI-BHOI,2010,12,23,7,6,7,0,53,9,9,26
MEGHALAYA,TOTAL,2010,134,149,71,42,67,166,664,152,98,154
MEGHALAYA,GARO_HILLS_EAST,2011,11,3,12,13,4,12,58,14,5,0
MEGHALAYA,GARO_HILLS_SOUTH,2011,11,2,6,1,2,4,38,23,1,12
MEGHALAYA,KGARO_HILLS_WEST,2011,22,8,25,8,11,36,150,45,28,70
MEGHALAYA,JAINTIA_HILLS,2011,52,43,12,5,7,12,82,25,25,47
MEGHALAYA,KHASI_HILLS_EAST,2011,36,42,20,6,28,68,257,58,96,30
MEGHALAYA,KHASI_HILLS_WEST,2011,17,15,8,6,4,13,53,15,6,18
MEGHALAYA,RI-BHOI,2011,21,17,4,10,7,0,58,10,5,20
MEGHALAYA,TOTAL,2011,170,130,87,49,63,145,696,190,166,197
MEGHALAYA,GARO_HILLS_EAST,2012,9,2,9,16,2,7,37,19,4,0
MEGHALAYA,GARO_HILLS_SOUTH,2012,7,6,15,2,1,5,40,27,10,4
MEGHALAYA,KGARO_HILLS_WEST,2012,19,6,19,9,5,22,90,20,0,45
MEGHALAYA,JAINTIA_HILLS,2012,44,32,18,8,7,13,66,25,14,25
MEGHALAYA,KHASI_HILLS_EAST,2012,31,58,18,7,25,84,208,37,61,62
MEGHALAYA,KHASI_HILLS_WEST,2012,16,28,6,7,5,11,32,3,11,12
MEGHALAYA,RI-BHOI,2012,11,32,7,3,1,3,70,21,8,9
MEGHALAYA,TOTAL,2012,137,164,92,52,46,145,543,152,108,157
