STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT
MIZORAM,AIZAWL,2001,12,26,0,0,8,265,562,9,45,39
MIZORAM,CHAMPHAI,2001,2,7,1,0,0,37,51,1,8,15
MIZORAM,KOLASIB,2001,3,6,0,0,0,19,83,1,5,11
MIZORAM,LAWNGTLAI,2001,2,2,0,1,0,10,25,0,2,5
MIZORAM,LUNGLEI,2001,5,3,0,1,0,47,120,5,5,5
MIZORAM,MAMIT,2001,4,0,0,1,13,1,12,0,0,2
MIZORAM,SAIHA,2001,2,3,0,0,1,29,0,0,6,9
MIZORAM,SERCHHIP,2001,1,5,1,0,1,9,25,1,0,8
MIZORAM,TOTAL,2001,31,52,2,3,23,417,878,17,71,94
MIZORAM,AIZAWL,2002,5,36,4,0,2,228,542,17,58,33
MIZORAM,CHAMPHAI,2002,6,9,0,0,1,47,45,2,5,17
MIZORAM,KOLASIB,2002,4,5,1,2,3,28,87,3,6,12
MIZORAM,LAWNGTLAI,2002,3,2,0,0,0,14,22,0,0,7
MIZORAM,LUNGLEI,2002,2,11,0,0,0,71,173,4,10,13
MIZORAM,MAMIT,2002,1,4,0,1,0,16,18,0,3,6
MIZORAM,SAIHA,2002,2,7,1,1,1,19,88,3,2,19
MIZORAM,SERCHHIP,2002,6,2,1,1,0,23,24,1,1,5
MIZORAM,TOTAL,2002,29,76,7,5,7,446,999,30,85,112
MIZORAM,AIZAWL,2003,14,24,4,1,14,264,709,42,41,48
MIZORAM,CHAMPHAI,2003,6,10,1,0,2,39,67,2,4,19
MIZORAM,KOLASIB,2003,5,5,2,3,3,33,77,4,2,15
MIZORAM,LAWNGTLAI,2003,6,1,0,1,0,7,50,1,1,5
MIZORAM,LUNGLEI,2003,6,6,0,0,2,59,205,8,7,20
MIZORAM,MAMIT,2003,2,1,0,0,0,18,34,0,1,6
MIZORAM,SAIHA,2003,6,4,1,0,0,34,101,0,3,19
MIZORAM,SERCHHIP,2003,1,3,0,0,0,33,60,0,1,10
MIZORAM,TOTAL,2003,46,54,8,5,21,487,1303,57,60,142
MIZORAM,AIZAWL,2005,4,10,5,2,2,90,230,0,18,11
MIZORAM,CHAMPHAI,2005,4,5,1,0,0,70,60,0,3,12
MIZORAM,KOLASIB,2005,2,2,0,0,0,30,70,0,2,4
MIZORAM,LAWNGTLAI,2005,3,2,2,0,1,60,70,0,10,11
MIZORAM,LUNGLEI,2005,4,6,2,1,2,80,200,0,10,14
MIZORAM,MAMIT,2005,4,6,2,0,0,22,15,0,5,5
MIZORAM,SAIHA,2005,2,2,1,0,1,60,107,0,8,10
MIZORAM,SERCHHIP,2005,1,4,0,0,0,30,25,0,2,10
MIZORAM,TOTAL,2005,24,37,13,3,6,442,777,0,58,77
MIZORAM,AIZAWL,2006,7,31,2,0,3,200,407,32,50,33
MIZORAM,CHAMPHAI,2006,2,12,0,0,1,42,73,8,7,11
MIZORAM,KOLASIB,2006,4,8,2,6,0,32,72,0,6,9
MIZORAM,LAWNGTLAI,2006,3,1,0,1,0,14,18,18,1,3
MIZORAM,LUNGLEI,2006,2,9,0,0,1,78,90,0,6,4
MIZORAM,MAMIT,2006,5,2,1,0,3,14,19,0,0,3
MIZORAM,SAIHA,2006,1,5,1,0,1,17,55,1,5,7
MIZORAM,SERCHHIP,2006,1,4,0,0,1,25,24,1,3,2
MIZORAM,TOTAL,2006,25,72,6,7,10,422,758,60,78,72
MIZORAM,AIZAWL,2007,18,35,3,0,3,216,464,60,42,38
MIZORAM,CHAMPHAI,2007,5,12,0,0,0,32,65,3,8,10
MIZORAM,KOLASIB,2007,9,12,1,0,1,47,83,0,3,12
MIZORAM,LAWNGTLAI,2007,5,3,0,0,0,20,27,0,3,10
MIZORAM,LUNGLEI,2007,2,9,0,0,1,78,90,0,6,4
MIZORAM,MAMIT,2007,1,1,0,0,0,28,24,0,1,0
MIZORAM,SAIHA,2007,2,3,0,0,0,19,29,0,0,8
MIZORAM,SERCHHIP,2007,1,8,0,0,0,17,26,1,3,3
MIZORAM,TOTAL,2007,43,83,4,0,5,457,808,64,66,85
MIZORAM,AIZAWL,2008,12,39,1,0,3,157,393,22,36,42
MIZORAM,CHAMPHAI,2008,4,7,1,0,0,27,72,0,4,10
MIZORAM,KOLASIB,2008,2,9,4,3,1,34,84,0,3,10
MIZORAM,LAWNGTLAI,2008,3,8,0,0,0,18,32,0,6,11
MIZORAM,LUNGLEI,2008,8,8,2,0,2,53,100,4,6,17
MIZORAM,MAMIT,2008,1,2,1,1,0,17,17,0,1,5
MIZORAM,SAIHA,2008,2,0,0,0,0,13,18,0,1,13
MIZORAM,SERCHHIP,2008,3,4,0,0,0,19,31,1,0,10
MIZORAM,TOTAL,2008,35,77,9,4,6,338,747,27,57,118
MIZORAM,AIZAWL,2009,14,27,7,0,2,214,408,52,37,45
MIZORAM,CHAMPHAI,2009,6,15,0,0,0,35,74,0,3,10
MIZORAM,KOLASIB,2009,3,7,0,0,0,25,75,9,8,11
MIZORAM,LAWNGTLAI,2009,3,5,0,0,0,24,37,0,5,7
MIZORAM,LUNGLEI,2009,1,12,1,0,1,38,84,14,5,12
MIZORAM,MAMIT,2009,1,9,1,2,1,21,29,0,1,14
MIZORAM,SAIHA,2009,2,3,0,0,0,13,28,0,0,12
MIZORAM,SERCHHIP,2009,1,5,0,0,0,11,26,2,2,9
MIZORAM,TOTAL,2009,31,83,9,2,4,381,761,77,61,120
MIZORAM,AIZAWL,2010,23,34,3,1,7,227,453,56,47,46
MIZORAM,CHAMPHAI,2010,5,20,0,0,0,45,89,2,3,10
MIZORAM,KOLASIB,2010,5,8,2,0,0,32,65,7,4,13
MIZORAM,LAWNGTLAI,2010,7,6,1,0,3,23,45,0,13,3
MIZORAM,LUNGLEI,2010,3,9,0,0,4,60,106,1,4,11
MIZORAM,MAMIT,2010,3,6,1,2,2,23,17,0,2,17
MIZORAM,SAIHA,2010,2,3,2,0,0,10,26,1,4,11
MIZORAM,SERCHHIP,2010,0,6,0,0,0,5,22,2,2,5
MIZORAM,TOTAL,2010,48,92,9,3,16,425,823,69,79,116
MIZORAM,AIZAWL,2011,10,35,1,0,4,190,395,31,46,44
MIZORAM,CHAMPHAI,2011,4,10,0,0,0,49,80,2,6,12
MIZORAM,KOLASIB,2011,5,7,2,0,0,18,57,2,1,10
MIZORAM,LAWNGTLAI,2011,1,2,1,0,0,7,29,0,2,4
MIZORAM,LUNGLEI,2011,2,13,2,0,1,36,93,4,8,5
MIZORAM,MAMIT,2011,2,4,0,1,1,10,31,0,1,11
MIZORAM,SAIHA,2011,1,2,0,0,0,15,25,0,2,8
MIZORAM,SERCHHIP,2011,1,4,0,0,0,11,24,0,0,3
MIZORAM,TOTAL,2011,26,77,6,1,6,336,734,39,66,97
MIZORAM,AIZAWL,2012,12,42,2,1,2,195,288,0,28,51
MIZORAM,CHAMPHAI,2012,5,12,1,0,0,44,104,6,5,11
MIZORAM,KOLASIB,2012,4,9,1,1,0,18,61,9,5,10
MIZORAM,LAWNGTLAI,2012,3,7,1,0,1,14,31,4,0,9
MIZORAM,LUNGLEI,2012,0,16,1,0,0,43,41,3,3,5
MIZORAM,MAMIT,2012,3,10,1,0,1,16,23,1,1,8
MIZORAM,SAIHA,2012,0,0,1,0,0,12,25,1,0,3
MIZORAM,SERCHHIP,2012,3,7,0,0,0,5,32,0,0,6
MIZORAM,TOTAL,2012,30,103,8,2,4,347,605,24,42,103
