STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT
NAGALAND,DIMAPUR,2001,36,4,13,4,89,55,114,48,7,10
NAGALAND,KIPHIRE,2001,1,0,0,0,0,2,5,0,0,0
NAGALAND,KOHIMA,2001,25,6,3,2,19,30,66,40,16,6
NAGALAND,MOKOKCHUNG,2001,12,1,1,1,5,14,12,1,3,5
NAGALAND,MON,2001,3,2,2,1,5,13,6,0,2,6
NAGALAND,PEREN,2001,0,0,0,0,1,9,4,0,1,0
NAGALAND,PHEK,2001,7,1,2,2,2,9,7,0,0,5
NAGALAND,TUENSANG,2001,1,0,0,1,2,7,5,0,2,0
NAGALAND,WOKHA,2001,12,1,2,0,3,11,28,0,1,5
NAGALAND,ZUNHEBOTO,2001,4,2,0,0,3,13,11,0,2,0
NAGALAND,TOTAL,2001,101,17,23,11,129,163,258,89,34,37
NAGALAND,DIMAPUR,2002,32,3,19,9,91,58,128,52,3,27
NAGALAND,KIPHIRE,2002,1,1,1,0,1,2,3,0,0,0
NAGALAND,KOHIMA,2002,25,9,0,4,0,19,44,24,12,1
NAGALAND,MOKOKCHUNG,2002,11,0,1,1,5,8,7,2,0,2
NAGALAND,MON,2002,1,0,1,2,3,12,17,2,3,7
NAGALAND,PEREN,2002,4,0,0,0,0,2,5,0,1,1
NAGALAND,PHEK,2002,5,1,4,2,6,2,8,0,0,5
NAGALAND,TUENSANG,2002,6,1,1,0,4,6,2,0,0,0
NAGALAND,WOKHA,2002,6,1,0,3,0,11,36,0,0,10
NAGALAND,ZUNHEBOTO,2002,9,1,0,0,0,8,7,1,2,0
NAGALAND,TOTAL,2002,100,17,27,21,110,128,257,81,21,53
NAGALAND,DIMAPUR,2003,15,2,12,2,54,20,74,17,1,19
NAGALAND,KIPHIRE,2003,1,1,1,1,0,2,2,0,0,0
NAGALAND,KOHIMA,2003,28,5,2,4,16,19,53,13,5,2
NAGALAND,MOKOKCHUNG,2003,8,1,10,3,3,7,9,3,1,9
NAGALAND,MON,2003,7,2,1,6,4,10,21,4,1,5
NAGALAND,PEREN,2003,4,1,4,0,2,3,5,0,0,1
NAGALAND,PHEK,2003,8,2,6,3,5,10,3,0,0,4
NAGALAND,TUENSANG,2003,9,0,0,0,3,9,11,0,1,0
NAGALAND,WOKHA,2003,5,0,2,0,3,3,40,0,2,6
NAGALAND,ZUNHEBOTO,2003,6,0,0,0,2,12,3,0,0,2
NAGALAND,TOTAL,2003,91,14,38,19,92,95,221,37,11,48
NAGALAND,DIMAPUR,2004,22,2,9,4,93,23,85,7,8,3
NAGALAND,KIPHIRE,2004,0,0,0,2,1,0,10,0,0,1
NAGALAND,KOHIMA,2004,12,10,9,3,14,16,36,11,8,8
NAGALAND,MOKOKCHUNG,2004,6,1,1,0,1,8,9,2,2,11
NAGALAND,MON,2004,6,0,2,3,4,2,33,2,6,10
NAGALAND,PEREN,2004,3,2,0,0,0,1,3,0,1,0
NAGALAND,PHEK,2004,6,1,0,0,0,5,4,0,2,6
NAGALAND,TUENSANG,2004,10,1,0,0,2,5,9,0,0,1
NAGALAND,WOKHA,2004,4,0,2,0,0,2,41,2,1,5
NAGALAND,ZUNHEBOTO,2004,1,1,0,2,2,8,25,2,0,7
NAGALAND,TOTAL,2004,70,18,23,14,117,70,255,26,28,52
NAGALAND,DIMAPUR,2005,23,7,5,5,55,35,117,73,12,7
NAGALAND,KIPHIRE,2005,0,0,0,0,0,2,2,0,0,0
NAGALAND,KOHIMA,2005,19,5,12,5,12,17,61,13,21,5
NAGALAND,MOKOKCHUNG,2005,3,0,0,0,1,10,9,3,1,6
NAGALAND,MON,2005,15,1,1,0,5,3,25,2,1,7
NAGALAND,PEREN,2005,5,1,0,0,0,4,8,0,0,0
NAGALAND,PHEK,2005,2,1,2,2,4,5,9,1,2,6
NAGALAND,TUENSANG,2005,9,1,2,0,0,8,5,0,3,0
NAGALAND,WOKHA,2005,10,0,4,0,2,1,40,1,0,4
NAGALAND,ZUNHEBOTO,2005,1,1,0,0,1,8,18,4,1,0
NAGALAND,TOTAL,2005,87,17,26,12,80,93,294,97,41,35
NAGALAND,DIMAPUR,2006,25,5,15,4,65,21,150,82,14,9
NAGALAND,KIPHIRE,2006,1,0,0,0,0,0,1,0,0,0
NAGALAND,KOHIMA,2006,31,8,10,6,10,19,67,24,16,0
NAGALAND,MOKOKCHUNG,2006,9,0,3,0,1,3,13,0,0,9
NAGALAND,MON,2006,15,2,2,4,2,6,16,0,2,10
NAGALAND,PEREN,2006,11,0,0,1,2,2,7,0,1,3
NAGALAND,PHEK,2006,9,5,0,1,2,3,11,1,2,7
NAGALAND,TUENSANG,2006,4,1,0,0,1,7,5,0,2,1
NAGALAND,WOKHA,2006,4,0,1,0,1,2,30,1,0,7
NAGALAND,ZUNHEBOTO,2006,14,2,0,0,0,7,27,5,0,4
NAGALAND,TOTAL,2006,123,23,31,16,84,70,327,113,37,50
NAGALAND,DIMAPUR,2007,30,5,7,2,49,64,209,161,15,9
NAGALAND,KIPHIRE,2007,3,0,0,0,0,1,2,0,1,0
NAGALAND,KOHIMA,2007,24,4,4,4,18,17,63,21,10,6
NAGALAND,LONGLENG,2007,1,0,1,0,0,0,0,0,1,0
NAGALAND,MOKOKCHUNG,2007,17,1,3,1,2,10,13,8,1,5
NAGALAND,MON,2007,9,0,0,0,2,7,10,0,4,7
NAGALAND,PEREN,2007,3,0,1,0,1,5,8,1,0,2
NAGALAND,PHEK,2007,5,0,0,0,2,5,8,0,0,6
NAGALAND,TUENSANG,2007,7,0,1,0,0,4,9,0,1,2
NAGALAND,WOKHA,2007,8,3,0,0,1,1,23,2,1,9
NAGALAND,ZUNHEBOTO,2007,4,0,0,0,0,4,15,1,0,6
NAGALAND,TOTAL,2007,111,13,17,7,75,118,360,194,34,52
NAGALAND,DIMAPUR,2008,64,6,31,2,66,66,182,135,15,8
NAGALAND,KIPHIRE,2008,4,0,0,0,0,0,6,0,0,0
NAGALAND,KOHIMA,2008,27,6,5,2,11,22,43,33,7,9
NAGALAND,LONGLENG,2008,0,0,0,0,1,2,0,0,1,0
NAGALAND,MOKOKCHUNG,2008,15,1,3,0,2,12,16,6,2,4
NAGALAND,MON,2008,12,1,0,0,2,4,23,2,2,2
NAGALAND,PEREN,2008,4,1,0,0,1,3,4,1,0,1
NAGALAND,PHEK,2008,9,2,1,1,0,2,8,0,1,4
NAGALAND,TUENSANG,2008,3,1,0,0,2,5,2,0,0,0
NAGALAND,WOKHA,2008,5,0,4,1,1,0,42,2,2,10
NAGALAND,ZUNHEBOTO,2008,0,1,0,0,1,11,19,3,1,8
NAGALAND,TOTAL,2008,143,19,44,6,87,127,345,182,31,46
NAGALAND,DIMAPUR,2009,15,7,33,5,70,50,185,14,14,5
NAGALAND,KIPHIRE,2009,0,0,2,0,0,0,4,0,0,0
NAGALAND,KOHIMA,2009,8,6,12,0,11,12,63,46,7,5
NAGALAND,LONGLENG,2009,1,0,0,0,0,0,3,0,0,2
NAGALAND,MOKOKCHUNG,2009,3,0,1,0,2,0,25,0,8,1
NAGALAND,MON,2009,4,0,0,2,2,4,16,2,0,2
NAGALAND,PEREN,2009,6,2,1,0,0,6,8,1,1,6
NAGALAND,PHEK,2009,2,0,0,1,0,5,7,0,1,6
NAGALAND,TUENSANG,2009,0,1,1,0,3,1,1,0,0,0
NAGALAND,WOKHA,2009,6,3,0,0,3,0,21,2,0,9
NAGALAND,ZUNHEBOTO,2009,1,3,2,0,1,4,14,4,2,2
NAGALAND,TOTAL,2009,46,22,52,8,92,82,347,69,33,38
NAGALAND,DIMAPUR,2010,20,4,41,2,15,29,212,15,14,11
NAGALAND,KIPHIRE,2010,2,0,0,0,5,0,5,0,1,0
NAGALAND,KOHIMA,2010,7,3,6,0,10,9,78,54,11,4
NAGALAND,LONGLENG,2010,0,0,0,0,0,0,1,0,0,0
NAGALAND,MOKOKCHUNG,2010,2,2,1,0,10,3,19,3,5,7
NAGALAND,MON,2010,0,0,0,0,3,0,10,0,0,0
NAGALAND,PEREN,2010,1,0,0,0,1,1,9,0,1,4
NAGALAND,PHEK,2010,4,1,1,0,3,4,10,2,1,6
NAGALAND,TUENSANG,2010,1,1,0,0,1,1,12,0,2,0
NAGALAND,WOKHA,2010,4,2,1,1,5,1,18,0,2,2
NAGALAND,ZUNHEBOTO,2010,4,3,0,0,10,14,23,6,2,2
NAGALAND,TOTAL,2010,45,16,50,3,63,62,397,80,39,36
NAGALAND,DIMAPUR,2011,15,9,24,4,46,26,170,6,16,14
NAGALAND,KIPHIRE,2011,0,0,0,0,0,0,0,0,0,0
NAGALAND,KOHIMA,2011,7,0,0,0,5,28,70,59,7,10
NAGALAND,LONGLENG,2011,0,1,1,0,0,0,11,0,1,0
NAGALAND,MOKOKCHUNG,2011,3,2,2,0,3,0,21,11,2,3
NAGALAND,MON,2011,6,2,0,1,0,3,8,4,0,6
NAGALAND,PEREN,2011,4,0,0,0,0,1,5,0,0,3
NAGALAND,PHEK,2011,4,3,0,0,1,2,10,1,1,3
NAGALAND,TUENSANG,2011,1,2,4,0,2,1,17,0,3,1
NAGALAND,WOKHA,2011,2,1,2,1,2,0,24,3,1,5
NAGALAND,ZUNHEBOTO,2011,4,3,1,1,0,12,24,1,0,10
NAGALAND,TOTAL,2011,46,23,34,7,59,73,360,85,31,55
NAGALAND,DIMAPUR,2012,26,9,16,1,36,19,202,3,20,9
NAGALAND,KIPHIRE,2012,4,0,0,0,0,0,2,1,1,0
NAGALAND,KOHIMA,2012,11,1,3,0,9,15,72,44,10,2
NAGALAND,LONGLENG,2012,1,0,0,0,0,0,1,0,0,1
NAGALAND,MOKOKCHUNG,2012,5,3,0,0,0,7,11,4,2,2
NAGALAND,MON,2012,6,3,4,0,4,0,19,1,1,3
NAGALAND,PEREN,2012,5,0,1,0,1,4,9,3,1,2
NAGALAND,PHEK,2012,2,1,0,0,1,5,11,1,0,2
NAGALAND,TUENSANG,2012,4,1,0,0,0,4,12,0,3,0
NAGALAND,WOKHA,2012,1,2,0,0,1,0,28,7,0,6
NAGALAND,ZUNHEBOTO,2012,10,1,3,0,2,11,14,1,1,3
NAGALAND,TOTAL,2012,75,21,27,1,54,65,381,65,39,30
