STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT
SIKKIM,EAST,2001,13,7,4,0,2,59,50,4,10,21
SIKKIM,NORTH,2001,1,0,0,0,0,2,3,0,3,4
SIKKIM,SOUTH,2001,4,1,1,0,0,9,9,0,0,4
SIKKIM,WEST,2001,1,0,1,0,1,6,12,2,0,6
SIKKIM,TOTAL,2001,19,8,6,0,3,76,74,6,13,35
SIKKIM,EAST,2002,6,3,5,0,4,44,52,4,28,28
SIKKIM,NORTH,2002,1,0,1,0,0,6,4,0,5,5
SIKKIM,SOUTH,2002,2,1,1,0,0,8,3,1,10,12
SIKKIM,WEST,2002,4,2,2,0,1,8,5,0,5,5
SIKKIM,TOTAL,2002,13,6,9,0,5,66,64,5,48,50
SIKKIM,EAST,2003,7,5,0,0,3,33,41,3,10,31
SIKKIM,NORTH,2003,1,2,0,0,0,3,2,0,0,0
SIKKIM,SOUTH,2003,3,1,0,1,0,8,19,0,1,12
SIKKIM,WEST,2003,3,2,0,1,0,4,3,0,1,13
SIKKIM,TOTAL,2003,14,10,0,2,3,48,65,3,12,56
SIKKIM,EAST,2004,4,1,1,0,4,42,58,6,15,37
SIKKIM,NORTH,2004,3,0,0,0,0,2,0,0,1,4
SIKKIM,SOUTH,2004,4,2,4,0,0,15,11,0,4,15
SIKKIM,WEST,2004,5,0,0,0,1,5,4,0,2,22
SIKKIM,TOTAL,2004,16,3,5,0,5,64,73,6,22,78
SIKKIM,EAST,2005,5,8,2,0,1,43,43,5,32,37
SIKKIM,NORTH,2005,0,1,0,0,0,3,8,0,0,5
SIKKIM,SOUTH,2005,2,6,1,2,3,30,24,0,5,37
SIKKIM,WEST,2005,1,3,0,0,0,9,6,0,7,20
SIKKIM,TOTAL,2005,8,18,3,2,4,85,81,5,44,99
SIKKIM,EAST,2006,10,10,5,0,3,48,60,7,20,40
SIKKIM,NORTH,2006,1,3,0,0,0,4,4,0,0,6
SIKKIM,SOUTH,2006,6,5,2,0,5,18,39,1,5,27
SIKKIM,WEST,2006,4,2,1,0,1,14,10,0,12,23
SIKKIM,TOTAL,2006,21,20,8,0,9,84,113,8,37,96
SIKKIM,EAST,2007,2,8,5,0,4,52,62,9,28,29
SIKKIM,NORTH,2007,0,0,0,0,1,3,5,0,0,5
SIKKIM,SOUTH,2007,1,12,1,0,0,18,29,1,6,33
SIKKIM,WEST,2007,6,4,3,0,1,10,22,1,0,28
SIKKIM,TOTAL,2007,9,24,9,0,6,83,118,11,34,95
SIKKIM,EAST,2008,5,5,2,1,1,40,69,5,39,36
SIKKIM,NORTH,2008,1,1,0,0,0,2,7,0,2,7
SIKKIM,SOUTH,2008,1,9,1,0,6,29,26,2,1,30
SIKKIM,WEST,2008,2,5,1,0,0,10,25,2,4,27
SIKKIM,TOTAL,2008,9,20,4,1,7,81,127,9,46,100
SIKKIM,EAST,2009,7,5,2,0,2,52,24,4,9,35
SIKKIM,NORTH,2009,2,0,0,0,0,2,1,1,0,11
SIKKIM,SOUTH,2009,5,8,2,0,2,34,29,3,3,30
SIKKIM,WEST,2009,5,5,2,0,0,5,8,0,0,15
SIKKIM,TOTAL,2009,19,18,6,0,4,93,62,8,12,91
SIKKIM,EAST,2010,6,5,4,0,5,40,33,7,11,24
SIKKIM,NORTH,2010,2,0,0,0,0,1,3,0,1,5
SIKKIM,SOUTH,2010,7,9,1,0,2,25,14,1,5,36
SIKKIM,WEST,2010,2,4,1,1,0,6,3,0,3,8
SIKKIM,TOTAL,2010,17,18,6,1,7,72,53,8,20,73
SIKKIM,EAST,2011,8,7,5,0,2,28,40,7,20,24
SIKKIM,NORTH,2011,1,0,0,0,0,3,9,0,1,6
SIKKIM,SOUTH,2011,2,4,4,0,3,24,20,1,6,24
SIKKIM,WEST,2011,3,5,1,0,0,5,3,0,4,21
SIKKIM,TOTAL,2011,14,16,10,0,5,60,72,8,31,75
SIKKIM,EAST,2012,3,13,6,0,2,22,42,7,22,31
SIKKIM,NORTH,2012,1,0,0,0,0,5,7,0,0,5
SIKKIM,SOUTH,2012,1,12,3,0,2,21,39,7,6,33
SIKKIM,WEST,2012,2,9,1,0,2,17,29,3,3,22
SIKKIM,TOTAL,2012,7,34,10,0,6,65,117,17,31,91
